basin name,scn,region name,location name,latitude,longitude,altitude,established,number,directory,basin water office data filename,Datatype
Rufiji Basin,1KB25,Nangaje,Nangaje,-8.1167,36.6833,,,60,,,name
Rufiji Basin,1KA15A,Ndembera,Ilonga,-8.2833,35.3111,,,14,,,name
Rufiji Basin,1KA33A,Ndembera,Madibira,-8.2333,34.8,,,23,,,name
Rufiji Basin,1KA63,Nyabu,Loje,-6.8667,35.9333,,,38,,,name
Rufiji Basin,1KA56,Ruaha,Malangali,-8.6333,34.85,,,32,,,name
Rufiji Basin,1K4A,Rufiji,D/S Utete,-8,38.75,,,3,,,name
Rufiji Basin,1K3A,Rufiji,Pangani Rapids,-7.8167,37.95,,,2,,,name
Rufiji Basin,1K3,Rufiji,Stiegler's Gorg,-7.8,37.9167,,,1,,,name
Rufiji Basin,1K7,Rufiji,Kidai Ferry,-7.7833,35.95,,,4,,,name
Rufiji Basin,1KB18,Ruhudji,Njombe,-9.4278,34.8056,,,54,,,name
Rufiji Basin,1KB18A,Ruhudji,Njombe,-9.4,34.8333,,,55,,,name
Rufiji Basin,1KB30,Ruhudji,Idonya Falls,-9.35,35.1667,,,66,,,name
Rufiji Basin,1KB18B,Ruhudji,B/L Kifung'a F.,-9.2833,34.8333,,,56,,,name
Rufiji Basin,1KB10,Ruhudji,Mwayamulungu,-8.95,36.9833,,,47,,,name
Rufiji Basin,1KB27,Ruipa,Mbingu,-8.2722,36.3583,,,63,,,name
Rufiji Basin,1KB24,Sanje,Sanje,-7.6333,37.0111,,,59,,,name
Rufiji Basin,1KB23,Sonjo,Sonjo,-7.8,36.9667,,,58,,,name
Rufiji Basin,1KA51A,Urobo,Gt. N.Road,-8.8167,33.6667,,,31,,,name
Rufiji Basin,1KA38A,Yovi,Gt.Ruaha conf.,-7.5667,36.7833,,,25,,,name
"Wami, Ruva and Coast",1G11,Chogoali,Difulu Village,-6.2306,37.4389,,,5,,,name
"Wami, Ruva and Coast",1GB1A,Diwale,Ngomeni,-6.1667,37.6167,,,8,,,name
"Wami, Ruva and Coast",1GD17,Kinyasungw,e Godegode,-6.5333,36.6167,,,12,,,name
"Wami, Ruva and Coast",1GD14,Kinyasungw,e Gulwe,-6.4333,35.4167,,,10,,,name
"Wami, Ruva and Coast",1G6,Kisangata,Mvumi,-6.6167,37.1833,,,4,,,name
"Wami, Ruva and Coast",1J5,Kizinga,Mbagala/Buza,-6.8333,39.3167,,,33,,,name
"Wami, Ruva and Coast",1J8,L.Manze,Mkenge,-6.8333,39.3333,,,36,,,name
"Wami, Ruva and Coast",1DG30,Lumuma,Kilimalulu,-6.6833,36.6667,,,15,,,name
"Wami, Ruva and Coast",1J7,Mbezi,Bigwa D/S,-7.2,39.1333,,,35,,,name
"Wami, Ruva and Coast",1GD31,Mdukwe,Mdukwe,-6.9611,36.9333,,,16,,,name
